time,node_id,rssi
73.896,28,-81.0
74.147,40,-86.0
74.397,40,-86.0
74.648,28,-86.0
74.648,40,-90.0
74.708,2,
74.898,28,-86.0
74.898,40,-90.0
75.148,28,-89.0
75.148,40,-92.0
75.399,28,-89.0
75.399,40,-92.0
75.649,40,-91.0
76.901,2,
78.894,2,
78.904,28,-93.0
79.154,28,-93.0
79.404,28,-88.0
79.655,28,-88.0
79.905,28,-88.0
80.666,2,
82.699,2,
83.661,42,-88.0
83.661,43,-95.0
83.911,42,-88.0
83.911,43,-95.0
84.161,44,-92.0
84.412,44,-92.0
84.662,42,-87.0
84.662,44,-93.0
84.692,2,
84.912,42,-87.0
84.912,44,-93.0
85.163,42,-87.0
85.163,44,-93.0
85.413,42,-86.0
85.663,42,-86.0
85.914,44,-94.0
86.164,44,-94.0
86.655,2,
88.688,2,
89.419,41,-86.0
89.669,41,-86.0
89.92,41,-86.0
90.671,41,-87.0
90.811,2,
90.921,41,-87.0
92.694,2,
92.924,44,-93.0
93.174,44,-93.0
94.686,2,
95.177,44,-95.0
95.427,44,-95.0
95.678,44,-90.0
95.928,44,-90.0
96.679,2,
98.692,2,
100.725,2,
102.658,2,
102.688,42,-86.0
102.938,42,-86.0
103.689,41,-89.0
103.94,41,-89.0
104.671,2,
104.941,42,-88.0
104.941,43,-91.0
105.191,42,-88.0
105.191,43,-91.0
105.442,42,-88.0
105.442,43,-91.0
105.692,42,-85.0
105.692,43,-86.0
105.943,42,-85.0
105.943,43,-86.0
106.193,42,-85.0
106.193,43,-86.0
106.724,2,
107.194,41,-86.0
107.194,45,-89.0
107.445,45,-89.0
107.445,41,-86.0
107.695,41,-86.0
107.695,45,-89.0
107.945,42,-86.0
107.945,44,-86.0
108.196,44,-86.0
108.196,42,-86.0
108.446,42,-86.0
108.446,44,-86.0
108.686,2,
108.697,44,-85.0
108.947,44,-85.0
109.197,44,-85.0
109.448,44,-80.0
109.698,44,-80.0
109.948,46,-87.0
109.948,42,-89.0
109.948,47,-93.0
109.948,44,-84.0
110.199,47,-93.0
110.199,44,-84.0
110.199,42,-89.0
110.199,46,-87.0
110.449,46,-87.0
110.449,42,-89.0
110.449,47,-93.0
110.449,44,-84.0
110.699,44,-81.0
110.699,42,-86.0
110.699,37,-91.0
110.699,47,-94.0
110.699,2,
110.95,42,-86.0
110.95,37,-91.0
110.95,44,-81.0
110.95,47,-94.0
111.2,43,-91.0
111.2,44,-71.0
111.2,42,-83.0
111.46,44,-71.0
111.46,43,-91.0
111.46,42,-83.0
111.711,44,-71.0
111.711,42,-83.0
111.711,43,-91.0
111.961,42,-85.0
